subject_id,defaulted,income_monthly,employment_years,credit_history_months,avg_monthly_spend,late_payments_12m
s_000049,0,4669.5,5.58,29,1759.66,2
s_000050,0,20411.99,3.73,27,14832.15,1
s_000051,0,13669.26,0.0,54,7996.72,2
s_000052,1,17979.77,0.0,10,12111.26,2
s_000053,0,33502.57,3.94,35,20200.14,0
s_000054,1,47060.63,1.44,23,33131.02,1
s_000055,0,26388.53,0.0,31,28291.33,3
s_000056,0,41737.54,0.0,25,16174.96,0
s_000057,0,15525.73,6.95,17,6476.89,0
s_000058,0,31282.66,6.71,36,17932.92,1
s_000059,0,40285.12,0.29,21,27017.57,0
s_000060,0,29770.76,2.47,69,24635.56,0
s_000061,0,23881.27,5.19,41,15810.4,0
s_000062,1,27860.4,4.96,24,11535.28,1
s_000063,0,25079.68,4.72,5,18019.62,0
s_000064,0,12083.34,1.29,34,13095.46,2
s_000065,0,49933.78,4.29,43,33519.03,1
s_000066,0,21922.84,0.0,23,20483.31,0
s_000067,0,20449.3,0.0,24,10442.33,0
s_000068,1,32337.27,0.0,14,21699.68,0
s_000069,1,33884.28,0.0,1,25723.21,3
s_000070,0,35905.33,4.75,30,31219.12,3
s_000071,1,16224.37,3.09,0,13819.3,0
s_000072,1,16454.32,4.15,35,12235.91,2
s_000073,0,36813.53,3.74,10,20927.69,0
s_000074,0,41993.53,1.77,25,42897.81,4
s_000075,0,41220.51,3.3,44,11987.33,0
s_000076,0,36179.29,3.81,47,4037.1,0
s_000077,1,34109.53,0.3,45,12780.2,2
s_000078,0,19700.03,5.91,24,12242.18,1
s_000079,0,18729.85,7.38,54,16187.21,3
s_000080,0,46770.02,4.69,15,8171.67,4
s_000081,0,19870.83,5.03,23,9985.79,1
s_000082,0,19518.29,3.01,38,14337.04,2
s_000083,1,44388.98,0.0,0,29928.18,0
s_000084,1,22175.07,2.7,4,16368.77,0
s_000085,0,33611.32,2.42,7,19753.72,0
s_000086,1,3000.0,1.82,11,1905.06,1
s_000087,1,34826.3,8.25,11,31357.09,2
s_000088,0,27709.43,3.39,31,18878.36,1
s_000089,0,5288.92,0.79,23,2500.91,0
s_000090,0,26234.46,4.86,29,27730.66,2
s_000091,0,33450.83,1.68,22,24494.38,0
s_000092,0,37934.01,3.37,21,12801.61,0
s_000093,1,27806.33,2.98,0,29758.21,3
s_000094,0,3000.0,4.12,30,1618.07,0
s_000095,0,15726.02,0.0,2,7423.88,1
s_000096,0,19447.72,1.7,11,9101.09,3
s_000097,1,31492.26,3.62,0,18363.38,1
s_000098,0,44044.69,2.12,42,32417.81,0
s_000099,0,28863.87,4.87,51,14769.19,2
s_000100,1,29923.43,1.31,30,25822.46,0
s_000101,0,21412.81,5.22,19,16006.74,0
s_000102,0,13804.68,5.12,21,11924.06,2
s_000103,0,19763.61,8.92,12,10383.78,0
s_000104,1,36842.14,4.52,38,22069.03,0
s_000105,0,39150.84,3.92,53,24166.21,4
s_000106,0,27568.64,5.31,62,28332.33,1
s_000107,0,20435.61,4.6,24,11522.32,0
s_000108,0,52059.08,4.66,21,37341.77,0
s_000109,1,40945.9,3.86,0,30613.48,0
s_000110,1,47271.54,0.0,41,40668.96,1
s_000111,0,36107.83,2.07,23,9591.92,0
s_000112,0,57884.37,2.7,52,33108.41,1
s_000113,0,42723.05,1.22,27,22088.8,0
s_000114,0,32670.04,1.56,32,9558.38,1
s_000115,0,34374.32,0.0,37,17265.01,0
s_000116,1,37296.71,3.2,16,19042.63,0
s_000117,1,42876.37,3.67,0,54000.81,2
s_000118,0,27280.46,5.41,36,18736.89,1
s_000119,1,14924.6,0.43,23,7086.36,3
s_000120,0,43872.2,0.79,16,36915.56,2
s_000121,0,42221.44,7.26,9,23427.54,2
s_000122,0,27322.79,4.31,0,29542.98,2
s_000123,0,42334.27,0.0,38,21038.08,2
s_000124,0,57950.45,5.18,16,44383.02,1
s_000125,0,33347.41,2.6,3,13378.49,0
s_000126,0,32866.35,2.9,48,25141.06,1
s_000127,1,24657.28,1.56,19,22954.43,0
s_000128,0,26710.07,0.5,37,22087.26,1
s_000129,0,19737.18,4.1,8,18137.22,0
s_000130,1,23421.02,8.55,0,15900.92,3
s_000131,1,53825.75,3.2,0,40452.29,2
s_000132,0,19043.24,6.15,26,15368.18,0
s_000133,0,18210.92,5.15,32,14273.59,1
s_000134,0,25401.39,5.2,0,19300.78,3
s_000135,0,24048.78,3.09,39,19980.26,0
s_000136,0,12638.88,3.4,11,9895.59,0
s_000137,0,30411.1,5.48,6,13719.3,1
s_000138,1,47275.73,6.11,29,51753.71,1
s_000139,0,15703.72,1.15,13,8467.24,0
s_000140,0,21729.27,0.46,30,6197.85,0
s_000141,0,29777.63,0.0,13,20389.39,1
s_000142,1,31921.3,5.26,34,28314.42,1
s_000143,1,25844.03,0.0,18,17407.16,0
s_000144,0,48452.42,8.19,0,40783.98,0
s_000145,0,3000.0,3.32,33,2364.74,1
s_000146,1,26133.75,3.06,13,22212.58,3
s_000147,0,3000.0,2.92,27,2374.38,0
s_000148,0,30982.76,6.11,59,26212.27,0
s_000149,0,39067.6,5.03,12,30202.81,0
s_000150,0,22628.65,9.23,58,12112.39,2
s_000151,1,43721.1,2.8,4,36707.79,2
s_000152,0,45738.38,3.81,11,43440.38,0
s_000153,0,27724.42,3.14,34,20982.09,0
s_000154,0,33942.99,4.21,33,26134.72,1
s_000155,0,36853.89,4.46,27,33904.24,1
s_000156,0,44092.08,6.89,55,25299.06,1
s_000157,0,42464.2,0.0,12,20137.42,0
s_000158,0,15813.92,1.35,8,14291.33,0
s_000159,0,42216.62,3.84,12,20840.4,1
s_000160,0,26139.23,4.29,20,9695.75,0
s_000161,0,30883.17,1.57,18,16822.26,3
s_000162,0,14563.8,7.82,25,8285.08,1
s_000163,0,28852.13,4.17,24,18075.34,0
s_000164,0,9504.45,2.53,10,4383.98,2
s_000165,0,26349.46,6.57,36,22692.9,2
s_000166,1,28890.36,2.77,0,19266.35,3
s_000167,0,29781.0,8.44,5,17784.74,2
s_000168,0,26223.45,1.4,0,15983.5,0
s_000169,0,31965.5,6.39,58,20278.72,1
s_000170,0,28958.89,2.22,32,18486.27,1
s_000171,0,21591.74,0.0,46,14690.13,2
s_000172,0,7763.74,7.6,38,7530.85,0
s_000173,0,30422.23,3.43,42,15960.47,1
s_000174,0,12894.03,3.92,28,11001.82,2
s_000175,0,37163.53,3.25,18,31045.11,0
s_000176,0,55927.73,5.06,3,15651.05,1
s_000177,1,17292.72,6.2,11,14690.56,3
s_000178,0,40008.69,4.68,24,33330.81,0
s_000179,0,6608.55,3.24,32,4966.73,1
s_000180,0,19881.43,2.63,36,14162.11,1
s_000181,0,46462.58,5.14,13,23045.16,0
s_000182,0,37574.87,3.82,19,37172.46,1
s_000183,0,39513.38,1.29,0,29341.79,0
s_000184,0,31593.46,3.07,0,17417.19,1
s_000185,0,17637.0,0.0,33,17045.4,0
s_000186,0,25027.49,4.38,15,10787.31,3
s_000187,0,31942.9,4.2,24,26211.28,1
s_000188,0,37068.3,6.99,19,19405.71,0
s_000189,0,49249.88,2.55,21,17164.55,0
s_000190,0,23650.47,2.5,27,16040.55,0
s_000191,0,18982.67,0.94,39,14831.48,0
s_000192,0,3000.0,0.0,10,1991.62,3
s_000193,0,30803.26,0.0,40,17613.89,0
s_000194,0,30969.84,5.13,34,24212.09,0
s_000195,0,16270.17,4.27,10,10818.26,1
s_000196,0,24759.47,3.44,6,17596.95,0
s_000197,0,39125.69,6.7,44,15235.29,0
s_000198,0,21237.78,0.0,22,14934.32,0
s_000199,1,32522.17,6.68,0,20371.89,2
s_000200,0,26904.14,2.61,41,7282.39,1
s_000201,0,22361.93,4.57,28,25951.24,0
s_000202,0,26571.83,1.66,31,13726.31,0
s_000203,0,12868.19,3.62,30,12564.26,0
s_000204,1,11019.15,0.95,26,9942.15,3
s_000205,0,33596.69,1.41,14,24017.75,1
s_000206,0,28811.04,2.63,37,11773.28,1
s_000207,0,21855.04,1.0,55,6641.06,2
s_000208,0,4978.67,6.0,50,3838.22,1
s_000209,0,22928.77,1.43,32,13254.49,1
s_000210,0,17083.12,6.65,5,11130.27,0
s_000211,0,15539.06,0.0,32,3576.01,0
s_000212,1,14180.84,0.0,38,9860.22,2
s_000213,0,23838.97,3.04,14,16388.18,0
s_000214,0,28171.31,7.79,25,12744.06,0
s_000215,0,19162.25,4.84,30,14100.04,0
s_000216,0,25820.82,0.62,0,19621.12,0
s_000217,0,30520.9,2.61,18,11605.6,1
s_000218,0,19248.52,0.0,19,7152.61,1
s_000219,0,32631.77,1.16,32,17698.15,0
s_000220,0,42127.79,0.5,0,22337.58,2
s_000221,0,14084.63,0.0,51,13336.75,0
s_000222,0,26921.74,4.62,24,19823.17,0
s_000223,0,41927.18,1.15,5,26920.02,0
s_000224,1,17681.14,1.62,6,15837.84,1
s_000225,0,32082.34,0.0,14,23517.8,1
s_000226,0,12983.2,2.16,41,4937.52,1
s_000227,0,42631.07,4.09,32,36840.17,0
s_000228,0,15748.54,5.46,25,17566.2,0
s_000229,0,23254.34,3.61,16,9343.38,1
s_000230,1,28114.48,7.7,56,14121.16,0
s_000231,0,26289.28,1.17,22,8713.69,1
s_000232,0,9240.58,2.87,16,6500.93,0
s_000233,0,27211.57,9.45,23,10500.02,0
s_000234,1,10041.35,1.49,50,6049.63,0
s_000235,0,17430.7,5.42,0,9837.52,1
s_000236,0,17099.19,1.22,10,11861.62,0
s_000237,0,18886.31,2.15,69,17705.01,1
s_000238,0,18469.81,7.67,19,12439.62,2
s_000239,0,14970.49,5.66,0,9784.74,0
s_000240,0,28681.71,0.06,35,25306.28,0
s_000241,0,37123.07,0.0,11,30283.47,1
s_000242,0,10927.26,2.4,30,8020.1,0
s_000243,0,35968.66,2.24,2,18540.71,1
s_000244,0,36861.74,3.72,4,19832.57,0
s_000245,0,5550.77,0.44,40,3006.86,0
s_000246,0,23863.88,4.64,49,10968.5,0
s_000247,0,30148.76,3.61,41,13740.52,0
s_000248,0,12360.91,1.12,14,8956.46,1
s_000249,0,37230.28,0.85,11,29065.43,0
s_000250,0,41028.91,5.7,0,26149.8,1
s_000251,1,31358.53,3.41,0,17091.33,4
s_000252,0,19425.34,0.95,13,11225.14,0
s_000253,0,8944.54,0.0,15,4609.53,3
s_000254,0,54293.47,3.12,28,18844.18,3
s_000255,0,29940.78,2.34,30,15746.52,1
s_000256,0,27628.26,3.18,0,19663.5,2
s_000257,0,36372.41,4.36,23,26983.97,1
s_000258,0,35723.36,2.83,21,28872.02,1
s_000259,0,33146.96,8.73,49,8067.69,0
s_000260,0,29763.99,4.93,2,14867.78,3
s_000261,0,23385.28,2.0,25,19713.81,0
s_000262,0,25791.81,2.74,42,11546.55,3
s_000263,0,34887.01,5.53,7,26435.13,1
s_000264,1,27450.15,2.15,13,17470.89,2
s_000265,1,3761.49,8.78,64,1690.99,0
s_000266,0,52762.35,2.69,9,63787.52,1
s_000267,0,28474.08,3.12,34,9758.46,0
s_000268,0,38468.73,1.77,19,20364.43,0
s_000269,0,32509.32,3.51,7,14304.97,1
s_000270,0,43895.8,4.25,1,32239.88,1
s_000271,1,27282.47,2.17,30,20113.28,2
s_000272,0,17479.61,5.4,13,15203.62,1
s_000273,0,23187.66,4.11,7,12719.2,0
s_000274,0,26380.39,5.87,43,24709.72,0
s_000275,0,13287.5,5.83,57,13805.86,0
s_000276,1,28470.13,2.5,23,26982.39,1
s_000277,0,27936.33,7.61,31,22268.7,1
s_000278,0,30133.44,0.3,13,30981.02,2
s_000279,1,33903.43,3.36,2,19016.75,2
s_000280,0,36493.1,0.0,4,9415.65,0
s_000281,0,40991.95,0.0,9,39461.79,0
s_000282,0,26070.11,3.38,7,11743.79,2
s_000283,0,36880.66,0.0,37,5991.04,0
s_000284,1,24709.71,3.01,42,15479.15,2
s_000285,0,15014.23,4.21,33,14174.31,1
s_000286,1,3000.0,4.89,0,3289.31,1
s_000287,0,23831.27,1.2,0,15544.0,0
s_000288,0,42545.22,4.96,19,22224.26,0
s_000289,1,41865.79,2.18,21,36030.1,1
s_000290,0,32957.23,2.31,41,18496.77,1
s_000291,0,36801.14,0.1,0,15377.17,0
s_000292,0,15072.45,0.86,10,8680.86,2
s_000293,0,16172.56,5.22,40,14303.93,1
s_000294,1,43265.91,1.39,76,24866.78,0
s_000295,0,36920.84,1.05,40,25785.54,0
s_000296,0,22252.11,6.96,16,9174.18,2
s_000297,0,10593.22,0.0,33,6811.27,0
s_000298,1,7753.74,3.85,0,8642.25,3
s_000299,0,29566.95,0.0,0,21279.18,0
s_000300,0,38356.83,1.09,13,15985.01,1
s_000301,0,16186.36,5.02,12,14902.04,2
s_000302,0,16554.31,3.86,38,5025.28,0
s_000303,0,37308.63,1.94,43,25703.3,1
s_000304,0,40135.26,3.78,24,14985.26,1
s_000305,0,3000.0,0.86,2,2271.21,0
s_000306,0,35223.95,0.0,59,24813.23,0
s_000307,0,15486.29,4.87,0,12263.73,0
s_000308,0,29077.83,5.29,23,21183.08,0
s_000309,0,50236.83,2.37,15,44522.03,0
s_000310,0,7324.8,4.99,11,3233.46,2
s_000311,1,30887.56,4.47,7,13760.68,3
s_000312,0,27329.62,0.0,40,15410.4,0
s_000313,0,36723.46,0.22,18,21571.83,0
s_000314,1,24900.94,0.0,11,16215.77,1
s_000315,0,28339.82,1.81,32,21009.35,1
s_000316,0,13180.41,3.37,25,9473.56,3
s_000317,0,32583.0,4.72,55,29655.62,0
s_000318,0,38666.36,7.95,36,33900.13,0
s_000319,0,28015.16,3.75,56,12580.74,3
s_000320,0,14897.01,0.0,0,11603.6,0
s_000321,1,26328.89,1.27,10,25054.41,1
s_000322,1,19359.01,1.99,32,17144.89,2
s_000323,0,16421.07,2.48,18,8199.79,1
s_000324,0,18079.86,3.74,37,13501.23,1
s_000325,0,38464.83,6.25,35,35565.54,2
s_000326,0,37343.9,3.5,14,21248.32,0
s_000327,0,35675.36,8.93,11,23036.02,2
s_000328,1,41772.71,5.69,9,25365.83,3
s_000329,0,32271.6,2.08,1,17213.18,1
s_000330,0,16281.41,1.04,17,11311.54,1
s_000331,1,20362.61,6.32,41,14675.33,0
s_000332,0,27976.86,2.33,35,12421.36,0
s_000333,0,45424.51,0.66,50,12373.37,0
s_000334,0,30899.65,1.8,9,15485.97,0
s_000335,0,34383.61,1.09,16,13568.48,3
s_000336,0,17814.76,3.69,25,9440.96,2
s_000337,0,38043.05,3.53,16,30039.06,0
s_000338,0,19867.98,0.0,34,17411.65,1
s_000339,0,27195.17,3.72,38,7160.42,1
s_000340,0,33822.8,4.37,62,34170.3,2
s_000341,0,27654.71,0.0,22,27222.6,0
s_000342,0,40729.44,2.66,0,28409.68,1
s_000343,0,15060.01,4.3,32,11819.83,3
s_000344,0,33067.09,2.78,46,26821.41,0
s_000345,0,38516.91,3.86,13,24028.1,2
s_000346,0,42224.3,3.14,37,14891.13,2
s_000347,0,20386.1,7.95,38,14956.96,1
s_000348,0,14131.0,4.8,47,6798.85,1
s_000349,0,35461.18,4.36,16,18141.26,0
s_000350,0,35802.37,1.84,26,15708.63,1
s_000351,0,29592.46,3.16,53,12838.03,0
s_000352,1,3000.0,5.25,37,2124.46,2
s_000353,0,43100.72,1.26,0,21831.49,0
s_000354,0,37017.19,7.25,29,30878.97,1
s_000355,0,43523.23,0.0,39,47258.27,0
s_000356,0,17339.5,4.0,9,8080.98,0
s_000357,0,28232.26,3.72,0,21591.57,0
s_000358,1,3000.0,0.06,24,1277.92,2
s_000359,1,25274.86,1.62,0,14861.47,2
s_000360,0,31206.73,2.97,22,31972.77,0
s_000361,0,24335.41,6.6,5,13916.85,0
s_000362,0,34678.49,4.23,17,13238.04,1
s_000363,0,29701.33,3.99,15,32175.55,3
s_000364,0,14957.73,6.38,18,15790.0,1
s_000365,0,23451.93,6.11,43,16554.07,0
s_000366,0,38483.14,4.59,26,27454.01,1
s_000367,0,17023.61,5.37,4,13671.65,0
s_000368,1,31583.43,5.43,9,16930.63,0
s_000369,0,19035.42,2.63,1,10230.36,0
s_000370,0,25407.58,2.13,20,19536.66,1
s_000371,0,9947.85,1.76,24,8663.77,0
s_000372,0,22519.37,1.81,30,15515.77,0
s_000373,0,28676.18,2.15,25,15847.27,0
s_000374,0,23359.82,2.3,5,15616.35,0
s_000375,0,49086.92,0.49,38,39450.69,1
s_000376,1,9938.3,4.73,36,10263.75,0
s_000377,1,23630.16,2.3,0,8990.48,3
s_000378,1,19865.61,3.95,42,15827.97,0
s_000379,0,44570.55,5.87,33,32743.57,0
s_000380,1,17154.21,5.2,8,15609.83,0
s_000381,0,24235.97,4.2,0,20281.9,1
s_000382,0,29682.14,1.93,7,24325.27,3
s_000383,1,39511.9,0.54,38,22936.58,2
s_000384,0,18108.48,4.14,38,9520.08,0
s_000385,0,43776.98,3.12,22,29728.03,1
s_000386,0,27687.81,2.05,11,11999.7,0
s_000387,0,3000.0,1.9,28,2119.22,1
s_000388,0,3860.14,0.62,5,2111.22,3
s_000389,0,44816.3,1.58,13,46917.4,0
s_000390,0,27046.75,0.58,18,9850.32,2
s_000391,0,16596.13,3.28,24,11646.0,1
s_000392,1,29088.28,0.4,29,19875.77,1
s_000393,0,24723.28,5.04,20,17991.89,0
s_000394,0,50798.75,4.37,29,43676.31,0
s_000395,1,6249.67,5.19,42,6036.01,0
s_000396,0,37138.7,4.01,36,30356.51,2
s_000397,1,8864.99,0.0,16,6418.46,2
s_000398,0,24266.11,4.86,0,15795.47,1
s_000399,0,40161.08,0.48,35,21343.8,0
s_000400,0,10637.2,2.02,9,4173.15,1
s_000401,0,20902.66,5.52,12,12294.28,4
s_000402,1,30332.84,3.85,23,21718.16,0
s_000403,0,31701.0,4.15,24,24821.66,0
s_000404,1,34923.9,0.0,15,21336.05,3
s_000405,1,23111.04,0.0,26,16122.69,2
s_000406,0,26132.81,0.0,17,16796.21,1
s_000407,1,29722.17,0.66,36,24045.93,1
s_000408,0,29529.73,5.74,31,25191.33,4
s_000409,0,32434.54,4.26,20,4923.25,3
s_000410,0,31778.78,5.92,21,19053.25,3
s_000411,0,16388.94,7.83,46,9650.67,0
s_000412,0,18365.56,6.0,32,17282.76,0
s_000413,0,29482.3,4.88,22,20247.48,1
s_000414,0,47379.81,0.59,79,20836.53,0
s_000415,0,34446.49,1.56,24,9519.5,0
s_000416,0,40059.61,5.0,47,21625.51,1
s_000417,0,34216.52,8.02,3,36800.89,2
s_000418,0,49832.95,2.84,27,24006.19,0
s_000419,0,39431.81,6.31,32,32648.91,2
s_000420,0,33870.07,1.92,0,35433.49,1
s_000421,0,26761.9,2.35,10,16953.73,1
s_000422,0,29474.41,0.92,57,11361.37,1
s_000423,0,35875.87,6.43,41,31290.61,2
s_000424,0,35272.65,5.02,15,29018.47,0
s_000425,0,26921.87,4.55,23,12927.98,0
s_000426,0,27324.56,2.76,25,18334.47,0
s_000427,0,15504.15,0.0,44,6975.61,0
s_000428,1,39375.28,1.13,35,37793.68,5
s_000429,1,6648.81,0.0,23,5407.77,1
s_000430,0,35967.62,5.42,0,40265.95,1
s_000431,0,18811.26,0.49,4,14434.25,0
s_000432,0,4488.25,0.0,0,1611.5,0
s_000433,0,25174.43,0.57,0,18591.9,0
s_000434,0,43190.41,3.58,48,29732.23,0
s_000435,0,14475.58,2.61,25,14355.76,0
s_000436,0,25373.34,3.72,11,14399.52,0
s_000437,1,39889.17,0.0,27,23006.18,2
s_000438,0,8739.73,4.08,35,2522.0,3
s_000439,0,23074.14,3.31,0,25240.72,0
s_000440,0,32286.44,3.08,13,21055.71,2
s_000441,0,20471.55,4.65,21,10845.09,0
s_000442,1,26225.0,2.6,9,15546.03,3
s_000443,1,12423.49,0.0,29,12248.59,0
s_000444,0,20195.51,0.76,30,15122.81,2
s_000445,0,32171.51,0.84,6,33418.01,2
s_000446,0,57861.93,0.43,43,46789.99,2
s_000447,0,14124.87,2.53,48,3777.71,0
s_000448,0,20638.85,4.38,8,16204.36,0
s_000449,0,5668.74,2.65,9,2294.41,3
s_000450,0,32568.84,3.52,0,15501.62,1
s_000451,0,32140.42,3.64,24,7614.36,0
s_000452,0,10840.97,6.61,33,1855.12,0
s_000453,0,32666.24,1.99,13,18284.35,2
s_000454,0,27316.61,2.26,36,19226.48,0
s_000455,1,37702.64,3.67,45,25285.93,0
s_000456,0,36053.58,0.65,20,16483.48,1
s_000457,0,30548.48,1.42,44,10245.45,0
s_000458,0,41619.01,0.97,17,24389.49,0
s_000459,0,33201.77,0.0,0,24678.97,1
s_000460,1,25130.96,2.49,19,26543.21,1
s_000461,0,41604.72,1.5,30,25101.09,0
s_000462,1,19063.16,3.74,15,17601.43,1
s_000463,1,34291.2,0.0,1,22427.44,2
s_000464,0,17818.32,6.61,33,8684.54,0
s_000465,1,18853.17,1.92,14,16389.48,0
s_000466,0,48555.03,5.14,0,36846.34,1
s_000467,0,30511.02,6.1,40,27262.33,0
s_000468,0,35716.03,3.6,15,45106.99,0
s_000469,0,25188.92,5.24,24,18530.8,2
s_000470,0,35622.68,0.45,11,18696.81,1
s_000471,0,32860.62,1.52,28,23389.29,2
s_000472,0,25754.41,2.56,19,12252.68,1
s_000473,0,37132.6,6.97,21,28289.67,2
s_000474,0,36595.21,0.71,12,12842.91,0
s_000475,0,38647.37,5.42,13,34039.36,1
s_000476,1,34272.93,0.64,54,27275.23,1
s_000477,0,32340.99,2.14,1,15174.11,0
s_000478,1,29442.78,0.61,23,12528.58,1
s_000479,0,29544.08,8.05,0,11957.96,2
s_000480,0,23155.51,0.0,12,12182.5,0
s_000481,0,39770.33,3.48,9,34823.71,2
s_000482,0,35972.15,0.0,6,32199.14,1
s_000483,0,31461.96,2.92,3,21783.0,0
s_000484,1,46327.22,3.32,22,36444.02,1
s_000485,0,28633.07,7.07,19,14658.07,1
s_000486,0,34157.53,0.0,66,33911.98,0
s_000487,0,32793.27,0.0,24,9710.55,0
s_000488,0,11578.51,6.32,39,9219.09,4
s_000489,0,27819.67,1.65,44,16323.58,0
s_000490,0,5328.42,0.75,13,4896.74,0
s_000491,0,42337.85,2.25,32,38436.56,1
s_000492,0,19107.82,3.19,35,12735.29,2
s_000493,0,20532.7,0.0,0,20559.07,0
s_000494,0,3000.0,2.11,28,2488.03,0
s_000495,0,38989.85,0.0,44,16138.04,3
s_000496,0,42056.77,0.81,11,25915.65,2
s_000497,0,20697.47,1.58,36,17556.99,0
s_000498,0,34287.65,5.75,42,15949.56,0
s_000499,0,38984.65,2.38,30,40800.22,2
s_000500,1,20568.87,5.86,18,21570.03,3
s_000501,0,27685.95,2.99,43,26918.3,1
s_000502,0,19508.24,5.55,37,14220.4,0
s_000503,0,41965.62,0.71,46,31078.2,2
s_000504,0,25022.65,1.36,11,13551.31,0
s_000505,0,6500.1,8.16,55,5692.08,0
s_000506,1,23384.5,6.13,5,22033.27,1
s_000507,0,52191.08,1.47,38,45646.22,2
s_000508,0,31461.64,1.72,12,24264.53,2
s_000509,0,45196.46,2.51,33,17951.56,3
s_000510,0,23654.36,2.74,34,19837.27,0
s_000511,1,37222.94,5.32,31,27692.14,1
s_000512,0,37114.99,2.28,40,38066.97,0
s_000513,0,35464.68,2.43,15,21456.79,0
s_000514,0,39985.22,4.92,20,25992.11,0
s_000515,0,14426.97,0.0,19,12919.58,0
s_000516,0,30855.53,3.03,9,23433.7,0
s_000517,0,21637.53,1.59,24,17558.11,0
s_000518,0,23452.4,2.82,37,4664.67,0
s_000519,0,9402.03,5.37,35,7872.24,3
s_000520,0,24528.71,3.39,6,22338.06,0
s_000521,0,31819.31,0.82,38,30927.69,0
s_000522,0,25629.45,4.52,36,7299.61,1
s_000523,0,20218.84,0.14,4,13385.65,2
s_000524,0,10490.78,5.17,45,5182.71,0
s_000525,0,27022.59,0.0,2,6060.68,0
s_000526,0,10053.95,2.85,30,7899.6,0
s_000527,1,28870.8,4.09,2,13780.54,0
s_000528,0,42357.73,4.17,10,14633.59,0
s_000529,0,40147.42,3.99,0,13236.87,1
s_000530,0,22864.82,1.43,12,11123.56,0
s_000531,0,33849.43,7.62,32,8229.96,1
s_000532,0,25165.59,2.2,26,17988.61,0
s_000533,0,12049.02,2.75,29,15012.57,2
s_000534,0,3000.0,3.96,23,2318.79,2
s_000535,0,24586.11,0.34,17,17289.58,0
s_000536,0,35721.25,0.33,22,17156.24,0
s_000537,0,10668.68,1.56,53,9383.78,3
s_000538,0,18737.12,4.57,28,10572.33,0
s_000539,0,27026.76,5.33,37,30459.18,0
s_000540,1,31390.79,0.0,54,24346.39,1
s_000541,0,39814.45,6.57,0,39166.25,1
s_000542,0,14888.32,3.83,30,9040.35,0
s_000543,0,54032.82,3.73,13,31820.72,0
s_000544,0,35541.68,4.82,0,20520.68,1
s_000545,0,26823.25,3.23,39,11385.29,4
s_000546,0,34754.04,4.99,30,30349.93,0
s_000547,0,30461.6,4.8,38,11423.62,0
s_000548,1,24619.22,0.0,30,17403.49,0
s_000549,0,27362.96,2.18,6,21832.79,0
s_000550,1,19343.82,1.99,4,12545.25,0
s_000551,0,30527.3,10.34,26,29971.85,1
s_000552,1,12785.85,4.08,25,12152.61,0
s_000553,0,29662.51,8.77,29,33564.75,0
s_000554,0,7403.22,3.27,26,8417.87,3
s_000555,0,36401.53,7.18,35,22263.34,1
s_000556,0,3480.41,7.88,24,2723.66,0
