subject_id,income_monthly,employment_years,credit_history_months,avg_monthly_spend,late_payments_12m,defaulted
subj_000109,40945.9,3.86,0,30613.48,0,1
subj_000110,47271.54,0.0,41,40668.96,1,1
subj_000111,36107.83,2.07,23,9591.92,0,0
subj_000112,57884.37,2.7,52,33108.41,1,0
subj_000113,42723.05,1.22,27,22088.8,0,0
subj_000114,32670.04,1.56,32,9558.38,1,0
subj_000115,34374.32,0.0,37,17265.01,0,0
subj_000116,37296.71,3.2,16,19042.63,0,1
subj_000117,42876.37,3.67,0,54000.81,2,1
subj_000118,27280.46,5.41,36,18736.89,1,0
subj_000119,14924.6,0.43,23,7086.36,3,1
subj_000120,43872.2,0.79,16,36915.56,2,0
subj_000121,42221.44,7.26,9,23427.54,2,0
subj_000122,27322.79,4.31,0,29542.98,2,0
subj_000123,42334.27,0.0,38,21038.08,2,0
subj_000124,57950.45,5.18,16,44383.02,1,0
subj_000125,33347.41,2.6,3,13378.49,0,0
subj_000126,32866.35,2.9,48,25141.06,1,0
subj_000127,24657.28,1.56,19,22954.43,0,1
subj_000128,26710.07,0.5,37,22087.26,1,0
subj_000129,19737.18,4.1,8,18137.22,0,0
subj_000130,23421.02,8.55,0,15900.92,3,1
subj_000131,53825.75,3.2,0,40452.29,2,1
subj_000132,19043.24,6.15,26,15368.18,0,0
subj_000133,18210.92,5.15,32,14273.59,1,0
subj_000134,25401.39,5.2,0,19300.78,3,0
subj_000135,24048.78,3.09,39,19980.26,0,0
subj_000136,12638.88,3.4,11,9895.59,0,0
subj_000137,30411.1,5.48,6,13719.3,1,0
subj_000138,47275.73,6.11,29,51753.71,1,1
subj_000139,15703.72,1.15,13,8467.24,0,0
subj_000140,21729.27,0.46,30,6197.85,0,0
subj_000141,29777.63,0.0,13,20389.39,1,0
subj_000142,31921.3,5.26,34,28314.42,1,1
subj_000143,25844.03,0.0,18,17407.16,0,1
subj_000144,48452.42,8.19,0,40783.98,0,0
subj_000145,3000.0,3.32,33,2364.74,1,0
subj_000146,26133.75,3.06,13,22212.58,3,1
subj_000147,3000.0,2.92,27,2374.38,0,0
subj_000148,30982.76,6.11,59,26212.27,0,0
subj_000149,39067.6,5.03,12,30202.81,0,0
subj_000150,22628.65,9.23,58,12112.39,2,0
subj_000151,43721.1,2.8,4,36707.79,2,1
subj_000152,45738.38,3.81,11,43440.38,0,0
subj_000153,27724.42,3.14,34,20982.09,0,0
subj_000154,33942.99,4.21,33,26134.72,1,0
subj_000155,36853.89,4.46,27,33904.24,1,0
subj_000156,44092.08,6.89,55,25299.06,1,0
subj_000157,42464.2,0.0,12,20137.42,0,0
subj_000158,15813.92,1.35,8,14291.33,0,0
subj_000159,42216.62,3.84,12,20840.4,1,0
subj_000160,26139.23,4.29,20,9695.75,0,0
subj_000161,30883.17,1.57,18,16822.26,3,0
subj_000162,14563.8,7.82,25,8285.08,1,0
subj_000163,28852.13,4.17,24,18075.34,0,0
subj_000164,9504.45,2.53,10,4383.98,2,0
subj_000165,26349.46,6.57,36,22692.9,2,0
subj_000166,28890.36,2.77,0,19266.35,3,1
subj_000167,29781.0,8.44,5,17784.74,2,0
subj_000168,26223.45,1.4,0,15983.5,0,0
subj_000169,31965.5,6.39,58,20278.72,1,0
subj_000170,28958.89,2.22,32,18486.27,1,0
subj_000171,21591.74,0.0,46,14690.13,2,0
subj_000172,7763.74,7.6,38,7530.85,0,0
subj_000173,30422.23,3.43,42,15960.47,1,0
subj_000174,12894.03,3.92,28,11001.82,2,0
subj_000175,37163.53,3.25,18,31045.11,0,0
subj_000176,55927.73,5.06,3,15651.05,1,0
subj_000177,17292.72,6.2,11,14690.56,3,1
subj_000178,40008.69,4.68,24,33330.81,0,0
subj_000179,6608.55,3.24,32,4966.73,1,0
subj_000180,19881.43,2.63,36,14162.11,1,0
subj_000181,46462.58,5.14,13,23045.16,0,0
subj_000182,37574.87,3.82,19,37172.46,1,0
subj_000183,39513.38,1.29,0,29341.79,0,0
subj_000184,31593.46,3.07,0,17417.19,1,0
subj_000185,17637.0,0.0,33,17045.4,0,0
subj_000186,25027.49,4.38,15,10787.31,3,0
subj_000187,31942.9,4.2,24,26211.28,1,0
subj_000188,37068.3,6.99,19,19405.71,0,0
subj_000189,49249.88,2.55,21,17164.55,0,0
subj_000190,23650.47,2.5,27,16040.55,0,0
subj_000191,18982.67,0.94,39,14831.48,0,0
subj_000192,3000.0,0.0,10,1991.62,3,0
subj_000193,30803.26,0.0,40,17613.89,0,0
subj_000194,30969.84,5.13,34,24212.09,0,0
subj_000195,16270.17,4.27,10,10818.26,1,0
subj_000196,24759.47,3.44,6,17596.95,0,0
subj_000197,39125.69,6.7,44,15235.29,0,0
subj_000198,21237.78,0.0,22,14934.32,0,0
subj_000199,32522.17,6.68,0,20371.89,2,1
subj_000200,26904.14,2.61,41,7282.39,1,0
subj_000201,22361.93,4.57,28,25951.24,0,0
subj_000202,26571.83,1.66,31,13726.31,0,0
subj_000203,12868.19,3.62,30,12564.26,0,0
subj_000204,11019.15,0.95,26,9942.15,3,1
subj_000205,33596.69,1.41,14,24017.75,1,0
subj_000206,28811.04,2.63,37,11773.28,1,0
subj_000207,21855.04,1.0,55,6641.06,2,0
subj_000208,4978.67,6.0,50,3838.22,1,0
subj_000209,22928.77,1.43,32,13254.49,1,0
subj_000210,17083.12,6.65,5,11130.27,0,0
subj_000211,15539.06,0.0,32,3576.01,0,0
subj_000212,14180.84,0.0,38,9860.22,2,1
subj_000213,23838.97,3.04,14,16388.18,0,0
subj_000214,28171.31,7.79,25,12744.06,0,0
subj_000215,19162.25,4.84,30,14100.04,0,0
subj_000216,25820.82,0.62,0,19621.12,0,0
subj_000217,30520.9,2.61,18,11605.6,1,0
subj_000218,19248.52,0.0,19,7152.61,1,0
subj_000219,32631.77,1.16,32,17698.15,0,0
subj_000220,42127.79,0.5,0,22337.58,2,0
subj_000221,14084.63,0.0,51,13336.75,0,0
subj_000222,26921.74,4.62,24,19823.17,0,0
subj_000223,41927.18,1.15,5,26920.02,0,0
subj_000224,17681.14,1.62,6,15837.84,1,1
subj_000225,32082.34,0.0,14,23517.8,1,0
subj_000226,12983.2,2.16,41,4937.52,1,0
subj_000227,42631.07,4.09,32,36840.17,0,0
subj_000228,15748.54,5.46,25,17566.2,0,0
subj_000229,23254.34,3.61,16,9343.38,1,0
subj_000230,28114.48,7.7,56,14121.16,0,1
subj_000231,26289.28,1.17,22,8713.69,1,0
subj_000232,9240.58,2.87,16,6500.93,0,0
subj_000233,27211.57,9.45,23,10500.02,0,0
subj_000234,10041.35,1.49,50,6049.63,0,1
subj_000235,17430.7,5.42,0,9837.52,1,0
subj_000236,17099.19,1.22,10,11861.62,0,0
subj_000237,18886.31,2.15,69,17705.01,1,0
subj_000238,18469.81,7.67,19,12439.62,2,0
subj_000239,14970.49,5.66,0,9784.74,0,0
subj_000240,28681.71,0.06,35,25306.28,0,0
subj_000241,37123.07,0.0,11,30283.47,1,0
subj_000242,10927.26,2.4,30,8020.1,0,0
subj_000243,35968.66,2.24,2,18540.71,1,0
subj_000244,36861.74,3.72,4,19832.57,0,0
subj_000245,5550.77,0.44,40,3006.86,0,0
subj_000246,23863.88,4.64,49,10968.5,0,0
subj_000247,30148.76,3.61,41,13740.52,0,0
subj_000248,12360.91,1.12,14,8956.46,1,0
subj_000249,37230.28,0.85,11,29065.43,0,0
subj_000250,41028.91,5.7,0,26149.8,1,0
subj_000251,31358.53,3.41,0,17091.33,4,1
subj_000252,19425.34,0.95,13,11225.14,0,0
subj_000253,8944.54,0.0,15,4609.53,3,0
subj_000254,54293.47,3.12,28,18844.18,3,0
subj_000255,29940.78,2.34,30,15746.52,1,0
subj_000256,27628.26,3.18,0,19663.5,2,0
subj_000257,36372.41,4.36,23,26983.97,1,0
subj_000258,35723.36,2.83,21,28872.02,1,0
subj_000259,33146.96,8.73,49,8067.69,0,0
subj_000260,29763.99,4.93,2,14867.78,3,0
subj_000261,23385.28,2.0,25,19713.81,0,0
subj_000262,25791.81,2.74,42,11546.55,3,0
subj_000263,34887.01,5.53,7,26435.13,1,0
subj_000264,27450.15,2.15,13,17470.89,2,1
subj_000265,3761.49,8.78,64,1690.99,0,1
subj_000266,52762.35,2.69,9,63787.52,1,0
subj_000267,28474.08,3.12,34,9758.46,0,0
subj_000268,38468.73,1.77,19,20364.43,0,0
subj_000269,32509.32,3.51,7,14304.97,1,0
subj_000270,43895.8,4.25,1,32239.88,1,0
subj_000271,27282.47,2.17,30,20113.28,2,1
subj_000272,17479.61,5.4,13,15203.62,1,0
subj_000273,23187.66,4.11,7,12719.2,0,0
subj_000274,26380.39,5.87,43,24709.72,0,0
subj_000275,13287.5,5.83,57,13805.86,0,0
subj_000276,28470.13,2.5,23,26982.39,1,1
subj_000277,27936.33,7.61,31,22268.7,1,0
subj_000278,30133.44,0.3,13,30981.02,2,0
subj_000279,33903.43,3.36,2,19016.75,2,1
subj_000280,36493.1,0.0,4,9415.65,0,0
subj_000281,40991.95,0.0,9,39461.79,0,0
subj_000282,26070.11,3.38,7,11743.79,2,0
subj_000283,36880.66,0.0,37,5991.04,0,0
subj_000284,24709.71,3.01,42,15479.15,2,1
subj_000285,15014.23,4.21,33,14174.31,1,0
subj_000286,3000.0,4.89,0,3289.31,1,1
subj_000287,23831.27,1.2,0,15544.0,0,0
subj_000288,42545.22,4.96,19,22224.26,0,0
subj_000289,41865.79,2.18,21,36030.1,1,1
subj_000290,32957.23,2.31,41,18496.77,1,0
subj_000291,36801.14,0.1,0,15377.17,0,0
subj_000292,15072.45,0.86,10,8680.86,2,0
subj_000293,16172.56,5.22,40,14303.93,1,0
subj_000294,43265.91,1.39,76,24866.78,0,1
subj_000295,36920.84,1.05,40,25785.54,0,0
subj_000296,22252.11,6.96,16,9174.18,2,0
subj_000297,10593.22,0.0,33,6811.27,0,0
subj_000298,7753.74,3.85,0,8642.25,3,1
subj_000299,29566.95,0.0,0,21279.18,0,0
subj_000300,38356.83,1.09,13,15985.01,1,0
subj_000301,16186.36,5.02,12,14902.04,2,0
subj_000302,16554.31,3.86,38,5025.28,0,0
subj_000303,37308.63,1.94,43,25703.3,1,0
subj_000304,40135.26,3.78,24,14985.26,1,0
subj_000305,3000.0,0.86,2,2271.21,0,0
subj_000306,35223.95,0.0,59,24813.23,0,0
subj_000307,15486.29,4.87,0,12263.73,0,0
subj_000308,29077.83,5.29,23,21183.08,0,0
subj_000309,50236.83,2.37,15,44522.03,0,0
subj_000310,7324.8,4.99,11,3233.46,2,0
subj_000311,30887.56,4.47,7,13760.68,3,1
subj_000312,27329.62,0.0,40,15410.4,0,0
subj_000313,36723.46,0.22,18,21571.83,0,0
subj_000314,24900.94,0.0,11,16215.77,1,1
subj_000315,28339.82,1.81,32,21009.35,1,0
subj_000316,13180.41,3.37,25,9473.56,3,0
subj_000317,32583.0,4.72,55,29655.62,0,0
subj_000318,38666.36,7.95,36,33900.13,0,0
subj_000319,28015.16,3.75,56,12580.74,3,0
subj_000320,14897.01,0.0,0,11603.6,0,0
subj_000321,26328.89,1.27,10,25054.41,1,1
subj_000322,19359.01,1.99,32,17144.89,2,1
subj_000323,16421.07,2.48,18,8199.79,1,0
subj_000324,18079.86,3.74,37,13501.23,1,0
subj_000325,38464.83,6.25,35,35565.54,2,0
subj_000326,37343.9,3.5,14,21248.32,0,0
subj_000327,35675.36,8.93,11,23036.02,2,0
subj_000328,41772.71,5.69,9,25365.83,3,1
subj_000329,32271.6,2.08,1,17213.18,1,0
subj_000330,16281.41,1.04,17,11311.54,1,0
subj_000331,20362.61,6.32,41,14675.33,0,1
subj_000332,27976.86,2.33,35,12421.36,0,0
subj_000333,45424.51,0.66,50,12373.37,0,0
subj_000334,30899.65,1.8,9,15485.97,0,0
subj_000335,34383.61,1.09,16,13568.48,3,0
subj_000336,17814.76,3.69,25,9440.96,2,0
subj_000337,38043.05,3.53,16,30039.06,0,0
subj_000338,19867.98,0.0,34,17411.65,1,0
subj_000339,27195.17,3.72,38,7160.42,1,0
subj_000340,33822.8,4.37,62,34170.3,2,0
subj_000341,27654.71,0.0,22,27222.6,0,0
subj_000342,40729.44,2.66,0,28409.68,1,0
subj_000343,15060.01,4.3,32,11819.83,3,0
subj_000344,33067.09,2.78,46,26821.41,0,0
subj_000345,38516.91,3.86,13,24028.1,2,0
subj_000346,42224.3,3.14,37,14891.13,2,0
subj_000347,20386.1,7.95,38,14956.96,1,0
subj_000348,14131.0,4.8,47,6798.85,1,0
subj_000349,35461.18,4.36,16,18141.26,0,0
subj_000350,35802.37,1.84,26,15708.63,1,0
subj_000351,29592.46,3.16,53,12838.03,0,0
subj_000352,3000.0,5.25,37,2124.46,2,1
subj_000353,43100.72,1.26,0,21831.49,0,0
subj_000354,37017.19,7.25,29,30878.97,1,0
subj_000355,43523.23,0.0,39,47258.27,0,0
subj_000356,17339.5,4.0,9,8080.98,0,0
subj_000357,28232.26,3.72,0,21591.57,0,0
subj_000358,3000.0,0.06,24,1277.92,2,1
subj_000359,25274.86,1.62,0,14861.47,2,1
subj_000360,31206.73,2.97,22,31972.77,0,0
subj_000361,24335.41,6.6,5,13916.85,0,0
subj_000362,34678.49,4.23,17,13238.04,1,0
subj_000363,29701.33,3.99,15,32175.55,3,0
subj_000364,14957.73,6.38,18,15790.0,1,0
subj_000365,23451.93,6.11,43,16554.07,0,0
subj_000366,38483.14,4.59,26,27454.01,1,0
subj_000367,17023.61,5.37,4,13671.65,0,0
subj_000368,31583.43,5.43,9,16930.63,0,1
subj_000369,19035.42,2.63,1,10230.36,0,0
subj_000370,25407.58,2.13,20,19536.66,1,0
subj_000371,9947.85,1.76,24,8663.77,0,0
subj_000372,22519.37,1.81,30,15515.77,0,0
subj_000373,28676.18,2.15,25,15847.27,0,0
subj_000374,23359.82,2.3,5,15616.35,0,0
subj_000375,49086.92,0.49,38,39450.69,1,0
subj_000376,9938.3,4.73,36,10263.75,0,1
subj_000377,23630.16,2.3,0,8990.48,3,1
subj_000378,19865.61,3.95,42,15827.97,0,1
subj_000379,44570.55,5.87,33,32743.57,0,0
subj_000380,17154.21,5.2,8,15609.83,0,1
subj_000381,24235.97,4.2,0,20281.9,1,0
subj_000382,29682.14,1.93,7,24325.27,3,0
subj_000383,39511.9,0.54,38,22936.58,2,1
subj_000384,18108.48,4.14,38,9520.08,0,0
subj_000385,43776.98,3.12,22,29728.03,1,0
subj_000386,27687.81,2.05,11,11999.7,0,0
subj_000387,3000.0,1.9,28,2119.22,1,0
subj_000388,3860.14,0.62,5,2111.22,3,0
subj_000389,44816.3,1.58,13,46917.4,0,0
subj_000390,27046.75,0.58,18,9850.32,2,0
subj_000391,16596.13,3.28,24,11646.0,1,0
subj_000392,29088.28,0.4,29,19875.77,1,1
subj_000393,24723.28,5.04,20,17991.89,0,0
subj_000394,50798.75,4.37,29,43676.31,0,0
subj_000395,6249.67,5.19,42,6036.01,0,1
subj_000396,37138.7,4.01,36,30356.51,2,0
subj_000397,8864.99,0.0,16,6418.46,2,1
subj_000398,24266.11,4.86,0,15795.47,1,0
subj_000399,40161.08,0.48,35,21343.8,0,0
subj_000400,10637.2,2.02,9,4173.15,1,0
subj_000401,20902.66,5.52,12,12294.28,4,0
subj_000402,30332.84,3.85,23,21718.16,0,1
subj_000403,31701.0,4.15,24,24821.66,0,0
subj_000404,34923.9,0.0,15,21336.05,3,1
subj_000405,23111.04,0.0,26,16122.69,2,1
subj_000406,26132.81,0.0,17,16796.21,1,0
subj_000407,29722.17,0.66,36,24045.93,1,1
subj_000408,29529.73,5.74,31,25191.33,4,0
subj_000409,32434.54,4.26,20,4923.25,3,0
subj_000410,31778.78,5.92,21,19053.25,3,0
subj_000411,16388.94,7.83,46,9650.67,0,0
subj_000412,18365.56,6.0,32,17282.76,0,0
subj_000413,29482.3,4.88,22,20247.48,1,0
subj_000414,47379.81,0.59,79,20836.53,0,0
subj_000415,34446.49,1.56,24,9519.5,0,0
subj_000416,40059.61,5.0,47,21625.51,1,0
subj_000417,34216.52,8.02,3,36800.89,2,0
subj_000418,49832.95,2.84,27,24006.19,0,0
subj_000419,39431.81,6.31,32,32648.91,2,0
subj_000420,33870.07,1.92,0,35433.49,1,0
subj_000421,26761.9,2.35,10,16953.73,1,0
subj_000422,29474.41,0.92,57,11361.37,1,0
subj_000423,35875.87,6.43,41,31290.61,2,0
subj_000424,35272.65,5.02,15,29018.47,0,0
subj_000425,26921.87,4.55,23,12927.98,0,0
subj_000426,27324.56,2.76,25,18334.47,0,0
subj_000427,15504.15,0.0,44,6975.61,0,0
subj_000428,39375.28,1.13,35,37793.68,5,1
subj_000429,6648.81,0.0,23,5407.77,1,1
subj_000430,35967.62,5.42,0,40265.95,1,0
subj_000431,18811.26,0.49,4,14434.25,0,0
subj_000432,4488.25,0.0,0,1611.5,0,0
subj_000433,25174.43,0.57,0,18591.9,0,0
subj_000434,43190.41,3.58,48,29732.23,0,0
subj_000435,14475.58,2.61,25,14355.76,0,0
subj_000436,25373.34,3.72,11,14399.52,0,0
subj_000437,39889.17,0.0,27,23006.18,2,1
subj_000438,8739.73,4.08,35,2522.0,3,0
subj_000439,23074.14,3.31,0,25240.72,0,0
subj_000440,32286.44,3.08,13,21055.71,2,0
subj_000441,20471.55,4.65,21,10845.09,0,0
subj_000442,26225.0,2.6,9,15546.03,3,1
subj_000443,12423.49,0.0,29,12248.59,0,1
subj_000444,20195.51,0.76,30,15122.81,2,0
subj_000445,32171.51,0.84,6,33418.01,2,0
subj_000446,57861.93,0.43,43,46789.99,2,0
subj_000447,14124.87,2.53,48,3777.71,0,0
subj_000448,20638.85,4.38,8,16204.36,0,0
subj_000449,5668.74,2.65,9,2294.41,3,0
subj_000450,32568.84,3.52,0,15501.62,1,0
subj_000451,32140.42,3.64,24,7614.36,0,0
subj_000452,10840.97,6.61,33,1855.12,0,0
subj_000453,32666.24,1.99,13,18284.35,2,0
subj_000454,27316.61,2.26,36,19226.48,0,0
subj_000455,37702.64,3.67,45,25285.93,0,1
subj_000456,36053.58,0.65,20,16483.48,1,0
subj_000457,30548.48,1.42,44,10245.45,0,0
subj_000458,41619.01,0.97,17,24389.49,0,0
subj_000459,33201.77,0.0,0,24678.97,1,0
subj_000460,25130.96,2.49,19,26543.21,1,1
subj_000461,41604.72,1.5,30,25101.09,0,0
subj_000462,19063.16,3.74,15,17601.43,1,1
subj_000463,34291.2,0.0,1,22427.44,2,1
subj_000464,17818.32,6.61,33,8684.54,0,0
subj_000465,18853.17,1.92,14,16389.48,0,1
subj_000466,48555.03,5.14,0,36846.34,1,0
subj_000467,30511.02,6.1,40,27262.33,0,0
subj_000468,35716.03,3.6,15,45106.99,0,0
subj_000469,25188.92,5.24,24,18530.8,2,0
subj_000470,35622.68,0.45,11,18696.81,1,0
subj_000471,32860.62,1.52,28,23389.29,2,0
subj_000472,25754.41,2.56,19,12252.68,1,0
subj_000473,37132.6,6.97,21,28289.67,2,0
subj_000474,36595.21,0.71,12,12842.91,0,0
subj_000475,38647.37,5.42,13,34039.36,1,0
subj_000476,34272.93,0.64,54,27275.23,1,1
subj_000477,32340.99,2.14,1,15174.11,0,0
subj_000478,29442.78,0.61,23,12528.58,1,1
subj_000479,29544.08,8.05,0,11957.96,2,0
subj_000480,23155.51,0.0,12,12182.5,0,0
subj_000481,39770.33,3.48,9,34823.71,2,0
subj_000482,35972.15,0.0,6,32199.14,1,0
subj_000483,31461.96,2.92,3,21783.0,0,0
subj_000484,46327.22,3.32,22,36444.02,1,1
subj_000485,28633.07,7.07,19,14658.07,1,0
subj_000486,34157.53,0.0,66,33911.98,0,0
subj_000487,32793.27,0.0,24,9710.55,0,0
subj_000488,11578.51,6.32,39,9219.09,4,0
subj_000489,27819.67,1.65,44,16323.58,0,0
subj_000490,5328.42,0.75,13,4896.74,0,0
subj_000491,42337.85,2.25,32,38436.56,1,0
subj_000492,19107.82,3.19,35,12735.29,2,0
subj_000493,20532.7,0.0,0,20559.07,0,0
subj_000494,3000.0,2.11,28,2488.03,0,0
subj_000495,38989.85,0.0,44,16138.04,3,0
subj_000496,42056.77,0.81,11,25915.65,2,0
subj_000497,20697.47,1.58,36,17556.99,0,0
subj_000498,34287.65,5.75,42,15949.56,0,0
subj_000499,38984.65,2.38,30,40800.22,2,0
subj_000500,20568.87,5.86,18,21570.03,3,1
subj_000501,27685.95,2.99,43,26918.3,1,0
subj_000502,19508.24,5.55,37,14220.4,0,0
subj_000503,41965.62,0.71,46,31078.2,2,0
subj_000504,25022.65,1.36,11,13551.31,0,0
subj_000505,6500.1,8.16,55,5692.08,0,0
subj_000506,23384.5,6.13,5,22033.27,1,1
subj_000507,52191.08,1.47,38,45646.22,2,0
subj_000508,31461.64,1.72,12,24264.53,2,0
subj_000509,45196.46,2.51,33,17951.56,3,0
subj_000510,23654.36,2.74,34,19837.27,0,0
subj_000511,37222.94,5.32,31,27692.14,1,1
subj_000512,37114.99,2.28,40,38066.97,0,0
subj_000513,35464.68,2.43,15,21456.79,0,0
subj_000514,39985.22,4.92,20,25992.11,0,0
subj_000515,14426.97,0.0,19,12919.58,0,0
subj_000516,30855.53,3.03,9,23433.7,0,0
subj_000517,21637.53,1.59,24,17558.11,0,0
subj_000518,23452.4,2.82,37,4664.67,0,0
subj_000519,9402.03,5.37,35,7872.24,3,0
subj_000520,24528.71,3.39,6,22338.06,0,0
subj_000521,31819.31,0.82,38,30927.69,0,0
subj_000522,25629.45,4.52,36,7299.61,1,0
subj_000523,20218.84,0.14,4,13385.65,2,0
subj_000524,10490.78,5.17,45,5182.71,0,0
subj_000525,27022.59,0.0,2,6060.68,0,0
subj_000526,10053.95,2.85,30,7899.6,0,0
subj_000527,28870.8,4.09,2,13780.54,0,1
subj_000528,42357.73,4.17,10,14633.59,0,0
subj_000529,40147.42,3.99,0,13236.87,1,0
subj_000530,22864.82,1.43,12,11123.56,0,0
subj_000531,33849.43,7.62,32,8229.96,1,0
subj_000532,25165.59,2.2,26,17988.61,0,0
subj_000533,12049.02,2.75,29,15012.57,2,0
subj_000534,3000.0,3.96,23,2318.79,2,0
